0	1-10	
1	0-12	
2	1-17	
3	5-12	
4	3-33	go:GO:0072686,manual:patients,manual:murine
5	0-30	go:GO:0072686
6	4-20	
7	2-22	go:GO:0000922,go:GO:0005813
8	2-19	uniprot:SL-0149
8	23-37	taxonomy:10090
9	5-25	
10	0-12	
11	3-17	
12	3-30	
13	0-28	
14	0-10	
15	0-28	
16	2-25	
18	1-16	
19	0-11	
21	1-19	
22	3-29	
22	33-51	
24	0-25	uaz:CVCL_9115
25	0-16	uaz:CVCL_9115
26	0-15	
27	2-18	
28	33-41	
29	2-46	tissuelist:TS-0591,go:GO:0097431,taxonomy:10090,go:GO:0005813,manual:patients
30	2-12	
31	3-31	go:GO:0072686
32	5-20	
33	3-13	
34	3-13	go:GO:0000922
35	5-16	
36	0-15	
37	0-20	go:GO:0000922,uniprot:SL-0149,go:GO:0005813
38	2-36	
39	3-35	go:GO:0000922,go:GO:0005813
40	2-10	
41	3-13	
41	20-32	
42	2-16	
43	4-17	
44	2-8	
44	16-27	
44	37-44	
45	6-9	
46	2-8	uaz:CVCL_9115
47	2-21	
48	1-27	uniprot:SL-0149
49	6-20	
50	6-21	uniprot:SL-0149
51	2-20	uniprot:SL-0149
52	3-34	tissuelist:TS-0417,tissuelist:TS-0161
53	5-37	cellosaurus:CVCL_0291
54	1-21	tissuelist:TS-0417,tissuelist:TS-0094,cellosaurus:CVCL_0022
55	2-29	taxonomy:10090
56	4-28	
57	1-11	
58	4-28	manual:mitochondria
59	5-44	go:GO:0097431,go:GO:0005813
60	1-6	
61	8-25	
62	5-39	
63	3-32	
