5	21-22	go:GO:0005911
7	0-27	
12	1-25	go:GO:0005912
13	42-44	uniprot:SL-0265
21	8-11	manual:HCE
46	4-6	
58	8-9	go:GO:0030054
59	0-17	cellosaurus:CVCL_0025
60	0-8	
65	4-9	
65	8-9	
66	2-4	
68	0-7	
72	0-2	
72	0-10	
78	0-4	
86	10-12	
87	0-8	
87	0-12	
87	4-8	
87	4-12	
87	6-12	
87	11-12	
88	6-10	go:GO:0030054,manual:HCE,cellosaurus:CVCL_0025
88	9-10	go:GO:0030054,manual:HCE,cellosaurus:CVCL_0025
88	10-18	go:GO:0030054,manual:HCE,cellosaurus:CVCL_0025
91	19-22	
97	2-23	
97	22-23	
104	0-7	
106	0-2	
106	0-4	
106	2-4	
